Id,TimeStamp,Model,Latitude,Longitude,RodCount,Rotation Speed Max (rpm),Rotation Torque Max (ft-lb),Thrust Force Max (lbf),Mud Flow Rate Avg (gpm),Mud Pressure Max (psi),Thrust Speed Avg (ft/min),Pull Force Maximum (lbf),Pull Speed Average (ft/min),Drill String Length (ft)
89733,11/20/2022 21:45:56,D23X30 S3,48.23,-103.76,11,115,1595,7933,5.1,340,13,0,0,124
89733,11/20/2022 21:46:45,D23X30 S3,48.23,-103.76,13,110,1337,10547,5.4,578,13,0,0,144
89733,11/20/2022 22:19:52,D23X30 S3,48.23,-103.76,16,107,739,3002,5,281,15,0,0,174
89733,11/20/2022 21:55:25,D23X30 S3,48.23,-103.76,18,108,734,7088,4.6,286,12,0,0,194
89733,11/20/2022 21:55:18,D23X30 S3,48.23,-103.76,20,105,1136,13288,5.7,497,5,0,0,214
89733,11/20/2022 21:55:39,D23X30 S3,48.23,-103.76,21,114,1677,16738,5.3,590,6,0,0,224
89733,11/20/2022 22:00:27,D23X30 S3,48.23,-103.76,23,121,1860,16889,4.8,590,10,3751,50,244
89733,11/20/2022 22:02:59,D23X30 S3,48.23,-103.76,25,108,1843,18353,5.1,788,9,670,0,264
89733,11/20/2022 22:14:39,D23X30 S3,48.23,-103.76,26,78,701,2919,0.4,0,12,2083,12,254
89733,11/21/2022 1:16:48,D23X30 S3,48.16,-102.86,2,147,796,4990,4.4,100,16,0,0,34
89733,3/7/2023 15:05:47,D23X30 S3,48.16,-102.86,3,106,503,6536,4.2,27,45,3335,16,44
89733,3/7/2023 15:10:08,D23X30 S3,48.16,-102.86,4,106,466,5809,4.3,53,30,2390,8,54
89733,3/7/2023 15:37:50,D23X30 S3,48.16,-102.86,11,108,1307,8163,5.2,220,11,0,0,124
89733,3/7/2023 15:16:02,D23X30 S3,48.16,-102.86,12,109,3371,18593,5.5,458,13,3334,0,134
89733,3/7/2023 15:22:58,D23X30 S3,48.16,-102.86,14,112,868,12132,5.5,169,14,0,0,154
89733,3/7/2023 15:35:35,D23X30 S3,48.16,-102.86,16,108,662,8077,4.7,121,12,0,0,174
89733,3/7/2023 15:49:52,D23X30 S3,48.16,-102.86,20,114,509,4618,4.7,48,20,0,0,214
89733,3/7/2023 15:43:08,D23X30 S3,48.16,-102.86,23,108,964,8541,5.2,106,29,0,0,244
89733,3/7/2023 15:38:13,D23X30 S3,48.16,-102.86,24,114,995,10548,4.8,38,20,0,0,254
89733,3/7/2023 15:43:49,D23X30 S3,48.16,-102.86,26,108,963,10619,4.8,27,20,0,0,274
89733,3/7/2023 15:47:42,D23X30 S3,48.16,-102.86,28,109,1140,4638,4.3,20,29,5812,37,274
89733,3/7/2023 17:28:35,D23X30 S3,48.16,-102.86,5,113,912,12837,6.5,454,21,0,0,64
89733,3/7/2023 16:58:37,D23X30 S3,48.16,-102.86,8,106,1707,11049,7.7,982,8,0,0,94
89733,3/7/2023 16:52:05,D23X30 S3,48.16,-102.86,9,111,2311,22219,5,354,9,2637,0,104
89733,3/7/2023 16:59:30,D23X30 S3,48.16,-102.86,10,106,1242,7623,5.3,296,8,959,0,114
89733,3/7/2023 17:24:42,D23X30 S3,48.16,-102.86,15,114,724,5816,4.9,12,36,0,0,164
89733,3/7/2023 17:05:01,D23X30 S3,48.16,-102.86,16,113,948,8401,5.2,37,30,0,0,174
89733,3/7/2023 17:17:40,D23X30 S3,48.16,-102.86,20,105,1068,12080,4.6,28,34,0,0,214
89733,3/7/2023 17:14:34,D23X30 S3,48.16,-102.86,22,108,906,9370,-0.3,10,-1,0,0,214
89733,3/7/2023 17:23:03,D23X30 S3,48.16,-102.86,19,113,1023,10742,4.6,67,30,3014,55,204
89733,3/7/2023 17:35:36,D23X30 S3,48.16,-102.86,20,114,844,8275,4.7,17,29,4806,32,214
89733,3/7/2023 17:41:01,D23X30 S3,48.16,-102.86,22,113,853,15629,4.6,19,24,5445,32,214
89733,3/7/2023 19:06:32,D23X30 S3,48.16,-102.86,7,112,1020,5061,12.6,101,41,0,0,84
89733,3/7/2023 19:16:17,D23X30 S3,48.16,-102.86,11,105,809,10380,9.8,160,28,0,0,124
89733,3/7/2023 19:20:07,D23X30 S3,48.16,-102.86,14,105,1023,10416,10.2,143,29,0,0,154
89733,3/7/2023 19:14:40,D23X30 S3,48.16,-102.86,16,110,1394,15016,6.8,119,33,0,0,174
89733,3/7/2023 19:21:33,D23X30 S3,48.16,-102.86,17,111,1340,5539,7.5,79,26,0,0,184
89733,3/7/2023 19:29:42,D23X30 S3,48.16,-102.86,20,108,1449,13205,5.9,79,26,0,0,214
89733,3/7/2023 19:24:11,D23X30 S3,48.16,-102.86,21,108,1049,15486,6,17,22,0,0,224
89733,3/7/2023 21:57:59,D23X30 S3,48.16,-102.86,2,147,1142,2594,4.7,107,18,0,0,34
89733,3/7/2023 21:00:13,D23X30 S3,48.16,-102.86,5,113,988,13422,5.1,305,24,0,0,64
89733,3/7/2023 20:57:26,D23X30 S3,48.16,-102.86,7,115,1415,13705,5.3,306,24,2921,6,84
89733,3/7/2023 21:14:58,D23X30 S3,48.16,-102.86,10,106,731,7412,4.5,16,49,0,0,114
89733,3/7/2023 21:21:42,D23X30 S3,48.16,-102.86,14,112,1280,9194,5.3,0,42,0,0,154
89733,3/7/2023 21:05:09,D23X30 S3,48.16,-102.86,16,107,1269,20469,5.2,73,30,0,0,174
89733,3/7/2023 21:14:23,D23X30 S3,48.16,-102.86,18,114,615,5062,5.2,13,44,0,0,194
89733,3/7/2023 21:36:22,D23X30 S3,48.16,-102.86,31,119,1760,18774,5.8,127,17,6343,9,324
89733,3/7/2023 21:25:00,D23X30 S3,48.16,-102.86,33,118,1940,15815,7,324,10,0,0,344
89733,3/7/2023 21:25:17,D23X30 S3,48.16,-102.86,34,121,1943,15754,6.7,318,12,0,0,354
89733,3/7/2023 21:29:50,D23X30 S3,48.16,-102.86,35,112,1521,4805,5.2,44,23,0,0,364
89733,3/7/2023 21:29:06,D23X30 S3,48.16,-102.86,36,107,1638,13705,6.1,192,12,5066,5,374
89733,3/7/2023 21:31:54,D23X30 S3,48.16,-102.86,37,113,1631,13777,6.3,193,14,5217,4,384
89733,3/7/2023 21:36:39,D23X30 S3,48.16,-102.86,39,114,1707,13569,5.5,64,15,0,0,404
89733,3/7/2023 22:04:45,D23X30 S3,48.16,-102.86,42,114,1212,4226,4.9,26,16,0,0,434
89733,3/7/2023 21:40:25,D23X30 S3,48.16,-102.86,43,108,1148,13460,5.3,28,16,0,0,444
89733,3/7/2023 21:51:34,D23X30 S3,48.16,-102.86,45,105,1376,4600,4.1,25,18,0,0,464
89733,3/7/2023 21:46:20,D23X30 S3,48.16,-102.86,46,106,1507,13091,4.9,62,15,0,0,474
89733,3/7/2023 21:52:14,D23X30 S3,48.16,-102.86,48,107,1401,12923,3.5,10,16,6609,13,494
89733,3/7/2023 21:51:29,D23X30 S3,48.16,-102.86,49,105,1449,14284,3.5,71,10,0,0,504
89733,3/8/2023 0:39:00,D23X30 S3,48.65,-103.76,12,108,934,8134,8.3,167,42,0,0,134
89733,3/9/2023 17:01:56,D23X30 S3,48.65,-103.76,15,106,768,5885,10.7,368,36,0,0,164
89733,3/9/2023 17:13:45,D23X30 S3,48.65,-103.76,17,114,850,9353,9.9,375,32,0,0,102
89733,3/9/2023 18:00:39,D23X30 S3,48.65,-103.76,2,108,1130,12898,9.2,177,21,0,0,34
89733,3/9/2023 23:30:20,D23X30 S3,48.65,-103.76,3,111,731,7072,8.3,156,21,0,0,44
89733,3/9/2023 23:31:02,D23X30 S3,48.65,-103.76,4,109,650,10177,8.6,168,27,4962,28,54
89733,3/9/2023 23:34:05,D23X30 S3,48.65,-103.76,5,108,677,7017,9.9,247,30,0,0,64
89733,3/9/2023 23:36:47,D23X30 S3,48.65,-103.76,6,113,2014,7115,9,190,25,0,0,74
89733,3/9/2023 23:46:40,D23X30 S3,48.65,-103.76,7,113,844,3706,8.2,184,31,0,0,84
89733,3/9/2023 23:42:19,D23X30 S3,48.65,-103.76,8,104,620,6636,8.5,174,35,0,0,94
89733,3/10/2023 0:02:22,D23X30 S3,48.65,-103.76,11,112,778,4426,8.8,392,32,0,0,124
89733,3/9/2023 23:49:40,D23X30 S3,48.65,-103.76,12,112,662,7788,8.5,152,31,0,0,134
89733,3/9/2023 23:53:25,D23X30 S3,48.65,-103.76,13,105,641,7068,8.6,120,30,0,0,144
89733,3/9/2023 23:55:57,D23X30 S3,48.65,-103.76,14,108,682,7997,8.5,112,40,0,0,154
89733,3/10/2023 0:18:18,D23X30 S3,48.55,-103.83,7,105,1321,13060,5,330,32,0,0,84
89733,3/10/2023 15:24:01,D23X30 S3,48.55,-103.83,12,113,1829,14385,5.2,131,40,0,0,134
89733,3/10/2023 15:41:06,D23X30 S3,48.55,-103.8,5,115,629,7805,5.3,120,28,0,0,64
89733,3/10/2023 16:53:39,D23X30 S3,48.55,-103.8,10,113,1068,5262,7.4,392,24,0,0,114
89733,3/10/2023 16:38:44,D23X30 S3,48.55,-103.8,11,116,936,11936,7.2,404,20,0,0,124
89733,3/10/2023 16:59:33,D23X30 S3,48.55,-103.8,15,106,1714,8583,10.4,546,23,0,0,164
89733,3/10/2023 16:53:22,D23X30 S3,48.55,-103.8,16,111,1135,13345,8.3,169,29,0,0,174
89733,3/10/2023 17:21:06,D23X30 S3,48.55,-103.8,19,111,937,5593,6.1,20,48,0,0,204
89733,3/10/2023 17:31:45,D23X30 S3,48.55,-103.8,20,113,942,5456,6.3,20,44,3770,34,194
89733,3/10/2023 18:14:31,D23X30 S3,48.55,-103.8,3,225,905,11877,9,289,14,7373,9,44
89733,3/11/2023 1:07:01,D23X30 S3,48.55,-103.8,12,108,889,-355,7.4,192,-1,4375,16,114
89733,3/10/2023 19:45:08,D23X30 S3,48.55,-103.8,8,111,694,8125,7.4,383,24,0,0,94
89733,3/10/2023 21:00:17,D23X30 S3,48.55,-103.8,12,121,829,3957,7.6,244,8,0,0,134
89733,3/10/2023 21:02:07,D23X30 S3,48.55,-103.8,16,106,768,7965,7.6,445,25,0,0,174
89733,3/10/2023 20:48:07,D23X30 S3,48.55,-103.8,17,115,582,5762,7,298,16,0,0,184
89733,3/10/2023 21:17:07,D23X30 S3,48.65,-103.77,8,106,979,9562,4.4,148,50,0,0,94
89733,3/11/2023 14:10:04,D23X30 S3,48.65,-103.77,13,109,1612,8605,4.4,127,37,0,0,144
89733,3/11/2023 14:11:52,D23X30 S3,48.65,-103.77,18,113,1967,13602,4.4,274,39,3840,47,194
89733,3/11/2023 14:20:38,D23X30 S3,48.65,-103.77,13,119,2523,9139,12,358,7,4744,36,144
89733,3/11/2023 18:55:46,D23X30 S3,48.65,-103.77,34,115,2393,18180,16.9,731,4,0,0,354
89733,3/11/2023 20:15:54,D23X30 S3,48.65,-103.77,41,105,1935,17904,19.5,830,7,0,0,424
89733,3/11/2023 20:39:49,D23X30 S3,48.65,-103.77,44,127,3426,16829,13.2,300,4,15859,4,454
89733,3/11/2023 20:45:29,D23X30 S3,48.65,-103.77,46,114,2225,21532,13.6,711,4,4477,30,474
89733,3/11/2023 21:01:10,D23X30 S3,48.65,-103.77,48,113,1296,5228,11.1,204,5,521,0,494
89733,3/11/2023 20:57:10,D23X30 S3,48.65,-103.77,49,108,2258,22905,15.7,763,5,806,1,504
89733,3/11/2023 21:02:20,D23X30 S3,48.65,-103.77,51,110,2259,22236,13.1,752,4,881,0,524
89733,3/11/2023 21:20:56,D23X30 S3,48.65,-103.77,53,110,2015,22870,12.5,986,5,0,0,544
89733,3/11/2023 21:31:14,D23X30 S3,48.65,-103.77,55,106,1468,13283,17.3,805,11,0,0,564
89733,3/11/2023 21:29:33,D23X30 S3,48.65,-103.77,56,121,1806,18001,13.9,766,7,0,0,574
89733,3/11/2023 21:33:20,D23X30 S3,48.65,-103.77,57,126,1888,13607,12.3,888,5,0,0,584
89733,3/11/2023 21:36:26,D23X30 S3,48.65,-103.77,58,115,1634,12496,11,399,4,917,1,594
89733,3/11/2023 21:41:49,D23X30 S3,48.65,-103.77,60,127,2908,12849,11.3,182,15,0,0,614
89733,3/11/2023 22:01:13,D23X30 S3,48.65,-103.77,62,113,850,2800,11.8,206,11,0,0,634
89733,3/11/2023 21:54:35,D23X30 S3,48.65,-103.77,65,107,1852,22901,10.7,270,14,0,0,664
89733,3/12/2023 22:13:35,D23X30 S3,48.55,-103.78,68,108,541,169,9.1,34,-1,0,0,408
89733,3/12/2023 1:05:17,D23X30 S3,48.55,-103.78,69,111,2736,11605,14.9,713,14,4603,41,704
89733,3/11/2023 23:01:26,D23X30 S3,48.55,-103.78,70,130,3276,19089,12.8,504,8,11683,5,714
89733,3/11/2023 23:11:33,D23X30 S3,48.55,-103.78,72,136,3278,19071,12.9,509,11,11863,14,714
89733,3/12/2023 1:51:16,D23X30 S3,48.65,-103.73,3,107,1823,21277,6.7,373,16,0,0,44
89733,3/13/2023 16:22:48,D23X30 S3,48.65,-103.73,5,107,1185,10579,7.1,228,34,0,0,64
89733,3/13/2023 16:20:31,D23X30 S3,48.65,-103.73,6,115,1205,15583,7.4,280,22,0,0,74
89733,3/13/2023 16:43:29,D23X30 S3,48.65,-103.73,9,115,1455,5361,6.8,255,10,0,0,104
89733,3/13/2023 16:35:24,D23X30 S3,48.65,-103.73,12,110,868,9400,6.6,295,25,0,0,134
89733,3/13/2023 17:07:04,D23X30 S3,48.65,-103.73,14,115,904,4420,7.3,213,15,4043,51,84
89733,3/13/2023 18:36:30,D23X30 S3,48.55,-103.71,10,110,904,5797,3.4,116,41,0,0,114
89733,3/16/2023 15:16:53,D23X30 S3,48.55,-103.71,13,107,835,5829,7.5,269,27,0,0,144
89733,3/16/2023 15:12:23,D23X30 S3,48.55,-103.71,16,114,1509,11828,4.4,140,25,0,0,174
89733,3/16/2023 15:07:23,D23X30 S3,48.55,-103.71,17,127,3217,19392,3.5,123,12,0,0,184
89733,3/16/2023 15:12:49,D23X30 S3,48.55,-103.71,21,115,1609,15601,4.8,240,35,4361,16,204
89733,3/16/2023 17:59:55,D23X30 S3,48.55,-103.71,4,114,1332,4344,7.8,186,19,0,0,54
89733,3/16/2023 17:09:03,D23X30 S3,48.55,-103.71,6,114,798,3345,8.3,441,21,0,0,74
89733,3/16/2023 17:05:24,D23X30 S3,48.55,-103.71,10,108,715,8827,8.1,510,26,0,0,114
89733,3/16/2023 17:17:47,D23X30 S3,48.55,-103.71,12,114,677,6757,7.3,357,28,0,0,134
89733,3/16/2023 17:36:59,D23X30 S3,48.55,-103.71,14,105,588,2628,8.5,548,18,0,0,154
89733,3/16/2023 17:34:12,D23X30 S3,48.55,-103.71,17,114,1087,3709,10.7,473,30,0,0,184
89733,3/16/2023 17:40:39,D23X30 S3,48.55,-103.71,19,119,934,5312,7.6,174,14,0,0,204
89733,3/16/2023 17:36:43,D23X30 S3,48.55,-103.71,20,109,759,7594,6.5,155,22,5043,3,214
89733,3/16/2023 17:40:39,D23X30 S3,48.55,-103.71,21,113,740,3021,6.1,231,30,0,0,224
89733,3/16/2023 17:45:49,D23X30 S3,48.55,-103.71,22,107,592,5844,6.1,115,30,0,0,234
89733,3/16/2023 17:52:53,D23X30 S3,48.55,-103.71,24,112,481,5127,5.7,229,22,0,0,254
